     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.19300D+03  0.9990538      0.9983550       24.5881      -7.21098     -0.288569E-03  -24.5982       7.21246     -0.798971E-03  0.653838E-01 -0.151940E-02 -0.552238E-06 -0.654052E-01  0.152031E-02 -0.470586E-05   51.2575       32.8406      0.976733      0.269179E-02  0.326149E-01  0.318770E-01  0.610531       1.76499      0.764086      0.124813E-04  0.124813E-04   836.687    
 0.19701D+03  0.9990615      0.9983482       24.8469      -7.21612     -0.267715E-03  -24.8574       7.21775     -0.807048E-03  0.639354E-01 -0.109706E-02 -0.557783E-06 -0.639570E-01  0.109799E-02 -0.473107E-05   51.7577       32.8403      0.976734      0.269087E-02  0.326236E-01  0.318756E-01  0.605417       1.77769      0.764053      0.123077E-04  0.123077E-04   836.676    
 0.20100D+03  0.9990676      0.9983437       25.0990      -7.21963     -0.256266E-03  -25.1101       7.22139     -0.848278E-03  0.625186E-01 -0.688240E-03 -0.552242E-06 -0.625407E-01  0.689142E-03 -0.490129E-05   52.2445       32.8402      0.976736      0.268927E-02  0.326486E-01  0.318733E-01  0.609914       1.78988      0.764007      0.119155E-04  0.119155E-04   836.670    
 0.20500D+03  0.9990704      0.9983417       25.3458      -7.22147     -0.264311E-03  -25.3572       7.22337     -0.843964E-03  0.611265E-01 -0.289771E-03 -0.510714E-06 -0.611480E-01  0.290773E-03 -0.477130E-05   52.7204       32.8401      0.976736      0.268852E-02  0.326683E-01  0.318719E-01  0.606248       1.79466      0.763983      0.118961E-04  0.118961E-04   836.668    
 0.20900D+03  0.9990750      0.9983380       25.5876      -7.22173     -0.279134E-03  -25.5994       7.22380     -0.860080E-03  0.597531E-01  0.998549E-04 -0.514438E-06 -0.597754E-01 -0.982886E-04 -0.472872E-05   53.1863       32.8398      0.976736      0.268757E-02  0.326660E-01  0.318709E-01  0.605980       1.80167      0.763977      0.112377E-04  0.112377E-04   836.655    
 0.21300D+03  0.9990848      0.9983282       25.8229      -7.22047     -0.253941E-03  -25.8354       7.22271     -0.901006E-03  0.584082E-01  0.477621E-03 -0.391800E-06 -0.584308E-01 -0.475810E-03 -0.501686E-05   53.6393       32.8395      0.976736      0.268756E-02  0.326735E-01  0.318647E-01  0.609696       1.80454      0.763964      0.112069E-04  0.112069E-04   836.645    
 0.21700D+03  0.9990915      0.9983227       26.0535      -7.21771     -0.280876E-03  -26.0666       7.22013     -0.920647E-03  0.570806E-01  0.846975E-03 -0.417921E-06 -0.571040E-01 -0.845381E-03 -0.493002E-05   54.0829       32.8393      0.976736      0.268626E-02  0.326786E-01  0.318618E-01  0.605004       1.81501      0.763968      0.106655E-04  0.106655E-04   836.636    
 0.22100D+03  0.9990958      0.9983180       26.2788      -7.21352     -0.284922E-03  -26.2923       7.21608     -0.957890E-03  0.557752E-01  0.120659E-02 -0.620718E-06 -0.557991E-01 -0.120516E-02 -0.487823E-05   54.5154       32.8391      0.976737      0.268683E-02  0.326783E-01  0.318584E-01  0.608310       1.82493      0.763947      0.102435E-04  0.102435E-04   836.630    
 0.22500D+03  0.9990946      0.9983206       26.4994      -7.20793     -0.260195E-03  -26.5129       7.21053     -0.988639E-03  0.544888E-01  0.155793E-02 -0.656290E-06 -0.545115E-01 -0.155655E-02 -0.483698E-05   54.9381       32.8391      0.976738      0.268535E-02  0.326950E-01  0.318643E-01  0.607448       1.83958      0.763912      0.102143E-04  0.102143E-04   836.629    
 0.22900D+03  0.9990993      0.9983162       26.7143      -7.20095     -0.262836E-03  -26.7283       7.20365     -0.100485E-02  0.532215E-01  0.190072E-02 -0.674780E-06 -0.532447E-01 -0.189921E-02 -0.493031E-05   55.3499       32.8389      0.976739      0.268505E-02  0.327106E-01  0.318628E-01  0.610800       1.84106      0.763876      0.979521E-05  0.979521E-05   836.621    
