"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"69","0.4102492034435272","0.4102492034435272","0.4102492034435272","69","69","69","0.2863093316555023","0.2863093316555023","0.2863093316555023"
"70","0.40503638982772827","0.40503638982772827","0.40503638982772827","70","70","70","0.282883882522583","0.282883882522583","0.282883882522583"
"71","0.40558984875679016","0.40558984875679016","0.40558984875679016","71","71","71","0.28831610083580017","0.28831610083580017","0.28831610083580017"
"72","0.40456828474998474","0.40456828474998474","0.40456828474998474","72","72","72","0.28635069727897644","0.28635069727897644","0.28635069727897644"
"73","0.40604570508003235","0.40604570508003235","0.40604570508003235","73","73","73","0.28398388624191284","0.28398388624191284","0.28398388624191284"
"74","0.4017774760723114","0.4017774760723114","0.4017774760723114","74","74","74","0.2813275158405304","0.2813275158405304","0.2813275158405304"
"75","0.40000078082084656","0.40000078082084656","0.40000078082084656","75","75","75","0.2817603051662445","0.2817603051662445","0.2817603051662445"
"76","0.3966202139854431","0.3966202139854431","0.3966202139854431","76","76","76","0.2809351980686188","0.2809351980686188","0.2809351980686188"
"77","0.3946777284145355","0.3946777284145355","0.3946777284145355","77","77","77","0.2802143096923828","0.2802143096923828","0.2802143096923828"
"78","0.39380985498428345","0.39380985498428345","0.39380985498428345","78","78","78","0.28097137808799744","0.28097137808799744","0.28097137808799744"
"79","0.3925309181213379","0.3925309181213379","0.3925309181213379","79","79","79","0.28224608302116394","0.28224608302116394","0.28224608302116394"
"80","0.39308351278305054","0.39308351278305054","0.39308351278305054","80","80","80","0.28599902987480164","0.28599902987480164","0.28599902987480164"
"81","0.39426466822624207","0.39426466822624207","0.39426466822624207","81","81","81","0.2861737310886383","0.2861737310886383","0.2861737310886383"
"82","0.3969259560108185","0.3969259560108185","0.3969259560108185","82","82","82","0.28601303696632385","0.28601303696632385","0.28601303696632385"
"83","0.3920736312866211","0.3920736312866211","0.3920736312866211","83","83","83","0.28135937452316284","0.28135937452316284","0.28135937452316284"
"84","0.3865286111831665","0.3865286111831665","0.3865286111831665","84","84","84","0.27543896436691284","0.27543896436691284","0.27543896436691284"
"85","0.3847745656967163","0.3847745656967163","0.3847745656967163","85","85","85","0.27538207173347473","0.27538207173347473","0.27538207173347473"
"86","0.3843640387058258","0.3843640387058258","0.3843640387058258","86","86","86","0.27897578477859497","0.27897578477859497","0.27897578477859497"
"87","0.3831942081451416","0.3831942081451416","0.3831942081451416","87","87","87","0.27634063363075256","0.27634063363075256","0.27634063363075256"
"88","0.38129687309265137","0.38129687309265137","0.38129687309265137","88","88","88","0.2775558531284332","0.2775558531284332","0.2775558531284332"
"89","0.3822753429412842","0.3822753429412842","0.3822753429412842","89","89","89","0.2788447141647339","0.2788447141647339","0.2788447141647339"
"90","0.38361191749572754","0.38361191749572754","0.38361191749572754","90","90","90","0.28154030442237854","0.28154030442237854","0.28154030442237854"
"91","0.37934374809265137","0.37934374809265137","0.37934374809265137","91","91","91","0.27568238973617554","0.27568238973617554","0.27568238973617554"
"92","0.3765954077243805","0.3765954077243805","0.3765954077243805","92","92","92","0.2738540768623352","0.2738540768623352","0.2738540768623352"
"93","0.3742423355579376","0.3742423355579376","0.3742423355579376","93","93","93","0.27613386511802673","0.27613386511802673","0.27613386511802673"
"94","0.38133084774017334","0.38133084774017334","0.38133084774017334","94","94","94","0.2801438570022583","0.2801438570022583","0.2801438570022583"
"95","0.38441604375839233","0.38441604375839233","0.38441604375839233","95","95","95","0.27989912033081055","0.27989912033081055","0.27989912033081055"
