model_name,balanced_accuracy,medae1,medae2
MoE_model_0129_1fd6yglt.pt,0.9792006549072485,0.023510416252136457,0.011078718118369578
MoE_model_0129_wx6wdq9c.pt,0.9762686915200093,0.023870356971740725,0.009984299424104393
MoE_model_0129_yri8jhjo.pt,0.978590575581168,0.023814830238342743,0.010886719229735498
MoE_model_0129_ddl5gbzl.pt,0.9803567009233265,0.014601381092071375,5.635058272446257e-06
MoE_model_0129_6nxzewh6.pt,0.979128263854313,0.013750891649245867,1.4799611562921198e-06
MoE_model_0129_dsw9j4o9.pt,0.9830229793454011,0.01531449421691855,0.008611882666915704
MoE_model_0129_5fjbvs6g.pt,0.9799119286467072,0.01768427317865573,0.013667126153945941
MoE_model_0129_rbpehx2o.pt,0.9758810946207844,0.017520082752227883,0.009161028597354903
MoE_model_0129_osrvm9ml.pt,0.9745376979947952,0.03359284265136786,0.015198698965832591
MoE_model_0129_g5yarkvo.pt,0.9741307205624614,0.01468985622905189,0.008800272062033376
MoE_model_0129_4nfllp3t.pt,0.9788258763229422,0.011205751964569244,0.0003717910967679927
MoE_model_0129_h69jn3gd.pt,0.9797334131234338,0.027723910720825806,0.011294935011535834
MoE_model_0129_acg7mnbm.pt,0.9774050030239713,0.02204918760776517,0.015197591856122017
MoE_model_0129_31hp1sb5.pt,0.9777599587838731,0.013421775527953983,4.727381451630207e-05
MoE_model_0129_y98h5xtl.pt,0.9763112440715346,0.017555989095687785,0.011559007011823372
MoE_model_0129_r19m4271.pt,0.9800807404532664,0.02035511856651273,0.012888816279798652
MoE_model_0129_ya6h8xtv.pt,0.9750089755313278,0.02463611369895917,0.010645208161339202
MoE_model_0129_78r1vhf8.pt,0.9786382137527394,0.024789579832553928,0.01567720245702936
MoE_model_0129_0pmwt76s.pt,0.9777650444039191,0.01644753858947756,0.008472636225633323
MoE_model_0129_ywcoldwj.pt,0.9791492672690854,0.020258857711792366,0.008835703833028674
MoE_model_0129_ny3lke95.pt,0.9770230122346907,0.01176176645851118,8.375150419673294e-05
MoE_model_0129_i4yemkpe.pt,0.9752509065762089,0.021054621238090095,0.015045228475123643
MoE_model_0129_amkdla1i.pt,0.982370009441303,0.010839437973022559,0.00011540363448148128
MoE_model_0129_kl5irx77.pt,0.9773389664937381,0.027632151279449846,0.011602452723309398
MoE_model_0129_e234swss.pt,0.9726141546952531,0.014471397418976295,1.4924344128530713e-05
MoE_model_0129_up7fzszo.pt,0.9780503184317993,0.02179956205143971,0.011303639737889169
MoE_model_0129_fzo1p42j.pt,0.9806621879345053,0.011487494148254118,1.473125905704364e-06
MoE_model_0129_h2d0fhp6.pt,0.9714560073263291,0.029634585477829156,0.013356530945345613
MoE_model_0129_v2xi1k9f.pt,0.9718216026838195,0.032100511610031024,0.012032866697385874
MoE_model_0129_qv4cn04k.pt,0.9821622120864044,0.018827311424255422,0.014878272823989389
MoE_model_0129_8x7ykrd7.pt,0.9790938182040392,0.02098226547241211,0.014615221713155435
MoE_model_0129_in6xy1n5.pt,0.9774395529390484,0.026870635530233056,0.010219361633062361
MoE_model_0129_shq1yi6x.pt,0.9754494526193751,0.02167918168640215,0.008840879094556019
MoE_model_0129_d7u1ehl4.pt,0.9693760021776497,0.03633514673995941,0.022601013304665685
MoE_model_0129_wx56xw8k.pt,0.9725513109618267,0.02740289527130013,0.013681320949554432
MoE_model_0129_v0t3se38.pt,0.977772855297394,0.014433463079452702,0.00012667059650084406
MoE_model_0129_c2aaqnmj.pt,0.9705194745883028,0.033804276222229035,0.012575716440200849
MoE_model_0129_ebkrsgsn.pt,0.9785963473678847,0.020372765419960026,0.010121081451959946
MoE_model_0129_lukim99e.pt,0.9798895890784804,0.015037388015747055,0.0075532456976361555
MoE_model_0129_huevysnb.pt,0.9753038128312321,0.013569049334049288,1.8489808184085625e-05
MoE_model_0129_uaoc8848.pt,0.9752607658560095,0.02929703545379625,0.012811074631765493
MoE_model_0129_qhoomeec.pt,0.9784081550282164,0.019939676435470455,0.00860196169392391
MoE_model_0129_f9b8agte.pt,0.9764635141627845,0.022753124999999985,0.015214896788984467
MoE_model_0129_j0upks0t.pt,0.978127004673307,0.02784080911445619,0.011945079371798784
MoE_model_0129_8cjioq4a.pt,0.9794186235022393,0.012373702072143722,0.0001159549988187791
MoE_model_0129_ac9327ap.pt,0.9806419749512068,0.012737784841537536,1.2396510484791175e-06
MoE_model_0129_2cp1s661.pt,0.963413423799816,0.04170692492675787,0.027470698680132632
MoE_model_0129_6yp5tptl.pt,0.9760445088470062,0.015827829250337155,0.010310878089904774
MoE_model_0129_54t05eb7.pt,0.9757341699774703,0.024439734855651984,0.014073773871660235
MoE_model_0129_48t07b2c.pt,0.9788320904009543,0.02104552211761479,0.01027254236396402
MoE_model_0129_ikbrcfpt.pt,0.9812809198838176,0.013560973600387632,4.837133360524604e-07
MoE_model_0129_qsak0suu.pt,0.9762936520968616,0.020661890167235797,0.009163188507079978
MoE_model_0129_f1ayq34e.pt,0.9763288881786093,0.011373047971725003,2.5734464516147245e-05
